SUBID,TCK,corr,btw,analysis,SUBID2
S020,L_Area_10r,0.8980988160164164,T01vsT02,AL_07,
S018,L_Area_10r,0.9452550870076037,T01vsT02,AL_07,
S017,L_Area_10r,0.9362507033370601,T01vsT02,AL_07,
S016,L_Area_10r,0.9804592147191468,T01vsT02,AL_07,
26CAMINO3920,L_Area_10r,0.9303152176409509,T01vsT02,AL_07,
41TPEF4693,L_Area_10r,0.983649861134006,T01vsT02,AL_07,
07CAMINO6124,L_Area_10r,0.8927301330798983,T01vsT02,AL_07,
S038,L_Area_10v,0.9175882116802485,T01vsT02,AL_07,
S037,L_Area_10v,0.9694924884973288,T01vsT02,AL_07,
S036,L_Area_10v,0.8767430903780622,T01vsT02,AL_07,
S035,L_Area_10v,0.9884660098131076,T01vsT02,AL_07,
S034,L_Area_10v,0.8523670065364198,T01vsT02,AL_07,
S033,L_Area_10v,0.9757477302565093,T01vsT02,AL_07,
S032,L_Area_10v,0.9711629588689649,T01vsT02,AL_07,
S031,L_Area_10v,0.9649058353985616,T01vsT02,AL_07,
TOT7729F,L_Area_10v,0.9173023414759826,T01vsT02,AL_07,
S029,L_Area_10v,0.9115517428220234,T01vsT02,AL_07,
S028,L_Area_10v,0.9310220308440214,T01vsT02,AL_07,
S027,L_Area_10v,0.990882291079837,T01vsT02,AL_07,
S025,L_Area_10v,0.9840335401631901,T01vsT02,AL_07,
S024,L_Area_10v,0.9120988631519551,T01vsT02,AL_07,
S023,L_Area_10v,0.9984203119083811,T01vsT02,AL_07,
S022,L_Area_10v,0.8122555918959117,T01vsT02,AL_07,
S021,L_Area_10v,0.9449826181945615,T01vsT02,AL_07,
S020,L_Area_10v,0.8937663898671413,T01vsT02,AL_07,
S018,L_Area_10v,0.9283742576644861,T01vsT02,AL_07,
S017,L_Area_10v,0.9604685614646078,T01vsT02,AL_07,
S016,L_Area_10v,0.9373681284465463,T01vsT02,AL_07,
26CAMINO3920,L_Area_10v,0.8297687265498115,T01vsT02,AL_07,
41TPEF4693,L_Area_10v,0.9608265779042598,T01vsT02,AL_07,
07CAMINO6124,L_Area_10v,0.8758647692651833,T01vsT02,AL_07,
S038,L_Area_25,0.829850988142156,T01vsT02,AL_07,
S037,L_Area_25,0.7822606007490521,T01vsT02,AL_07,
S036,L_Area_25,0.07987377211650211,T01vsT02,AL_07,
S035,L_Area_25,0.38659199092532875,T01vsT02,AL_07,
S034,L_Area_25,0.17681068377660372,T01vsT02,AL_07,
S033,L_Area_25,0.3957489884204416,T01vsT02,AL_07,
S032,L_Area_25,0.36648094500692213,T01vsT02,AL_07,
S031,L_Area_25,0.43256156550136493,T01vsT02,AL_07,
TOT7729F,L_Area_25,0.6029036248631329,T01vsT02,AL_07,
S029,L_Area_25,0.9164570340251885,T01vsT02,AL_07,
S028,L_Area_25,0.5204713031643243,T01vsT02,AL_07,
S027,L_Area_25,0.8248647724331266,T01vsT02,AL_07,
S025,L_Area_25,0.8897652976577634,T01vsT02,AL_07,
S024,L_Area_25,0.7444266871901583,T01vsT02,AL_07,
S023,L_Area_25,0.9868764059540921,T01vsT02,AL_07,
S022,L_Area_25,0.8832089494459204,T01vsT02,AL_07,
S021,L_Area_25,0.9196150050101491,T01vsT02,AL_07,
S020,L_Area_25,0.8022433554210026,T01vsT02,AL_07,
S018,L_Area_25,0.9627924353335137,T01vsT02,AL_07,
S017,L_Area_25,0.6620137661889147,T01vsT02,AL_07,
S016,L_Area_25,0.5265052337762608,T01vsT02,AL_07,
26CAMINO3920,L_Area_25,0.5603723553666642,T01vsT02,AL_07,
41TPEF4693,L_Area_25,0.9590412575392765,T01vsT02,AL_07,
07CAMINO6124,L_Area_25,0.09755005901118986,T01vsT02,AL_07,
S038,L_Area_p32,0.934217386247679,T01vsT02,AL_07,
S037,L_Area_p32,0.984801494621294,T01vsT02,AL_07,
S036,L_Area_p32,0.938134558931508,T01vsT02,AL_07,
S035,L_Area_p32,0.9731869734396937,T01vsT02,AL_07,
S034,L_Area_p32,0.6703798373808901,T01vsT02,AL_07,
S033,L_Area_p32,0.979145389429023,T01vsT02,AL_07,
S032,L_Area_p32,0.9927461366465814,T01vsT02,AL_07,
S031,L_Area_p32,0.984170446697169,T01vsT02,AL_07,
TOT7729F,L_Area_p32,0.9761050917988714,T01vsT02,AL_07,
S029,L_Area_p32,0.9849335486031983,T01vsT02,AL_07,
S028,L_Area_p32,0.9516623887680719,T01vsT02,AL_07,
S027,L_Area_p32,0.9916946764552277,T01vsT02,AL_07,
S025,L_Area_p32,0.9911771797798206,T01vsT02,AL_07,
S024,L_Area_p32,0.8592378099357447,T01vsT02,AL_07,
S023,L_Area_p32,0.9993147116237434,T01vsT02,AL_07,
S022,L_Area_p32,0.932832617820032,T01vsT02,AL_07,
S021,L_Area_p32,0.9712236047473571,T01vsT02,AL_07,
S020,L_Area_p32,0.9562909215971782,T01vsT02,AL_07,
S018,L_Area_p32,0.9220732731822546,T01vsT02,AL_07,
S017,L_Area_p32,0.9344375112841853,T01vsT02,AL_07,
S016,L_Area_p32,0.9898362409160348,T01vsT02,AL_07,
26CAMINO3920,L_Area_p32,0.9729480622706358,T01vsT02,AL_07,
41TPEF4693,L_Area_p32,0.972844835165559,T01vsT02,AL_07,
07CAMINO6124,L_Area_p32,0.9010456810106701,T01vsT02,AL_07,
S038,L_Area_s32,0.9669202115455326,T01vsT02,AL_07,
S037,L_Area_s32,0.8847481260350525,T01vsT02,AL_07,
S036,L_Area_s32,0.9523459744600976,T01vsT02,AL_07,
S035,L_Area_s32,0.8507596979765182,T01vsT02,AL_07,
S034,L_Area_s32,0.44755117600391564,T01vsT02,AL_07,
S033,L_Area_s32,0.9931279772796794,T01vsT02,AL_07,
S032,L_Area_s32,0.9890879597678137,T01vsT02,AL_07,
S031,L_Area_s32,0.9377795777363772,T01vsT02,AL_07,
TOT7729F,L_Area_s32,0.9150128870978246,T01vsT02,AL_07,
S029,L_Area_s32,0.9605290918581282,T01vsT02,AL_07,
S028,L_Area_s32,0.9838156435053809,T01vsT02,AL_07,
S027,L_Area_s32,0.9784152136604841,T01vsT02,AL_07,
S025,L_Area_s32,0.9724933204184538,T01vsT02,AL_07,
S024,L_Area_s32,0.44274026031826724,T01vsT02,AL_07,
S023,L_Area_s32,0.9997389678886475,T01vsT02,AL_07,
S022,L_Area_s32,0.9458242859883529,T01vsT02,AL_07,
S021,L_Area_s32,0.9862225883695404,T01vsT02,AL_07,
S020,L_Area_s32,0.9785877106129062,T01vsT02,AL_07,
S018,L_Area_s32,0.9719662513068635,T01vsT02,AL_07,
S017,L_Area_s32,0.4960969723443672,T01vsT02,AL_07,
S016,L_Area_s32,0.9935711453161821,T01vsT02,AL_07,
26CAMINO3920,L_Area_s32,0.9796405508092032,T01vsT02,AL_07,
41TPEF4693,L_Area_s32,0.9677157341391774,T01vsT02,AL_07,
07CAMINO6124,L_Area_s32,0.9552811595125037,T01vsT02,AL_07,
S038,L_Area_10d,0.9617225428667756,T01vsT02,AL_07,
S037,L_Area_10d,0.9860384955600006,T01vsT02,AL_07,
S036,L_Area_10d,0.9646973880919486,T01vsT02,AL_07,
S035,L_Area_10d,0.9882902934632295,T01vsT02,AL_07,
S034,L_Area_10d,0.9800165254545076,T01vsT02,AL_07,
S033,L_Area_10d,0.985716238970673,T01vsT02,AL_07,
S032,L_Area_10d,0.9673105668466557,T01vsT02,AL_07,
S031,L_Area_10d,0.8949408977986102,T01vsT02,AL_07,
TOT7729F,L_Area_10d,0.9791357388902528,T01vsT02,AL_07,
S029,L_Area_10d,0.9909422653566844,T01vsT02,AL_07,
S028,L_Area_10d,0.9811495490964377,T01vsT02,AL_07,
